slug,old_url,new_slug,new_url,category,hub,file_path,content_length
"0-33-cup-evaporated-milk-to-ounces","https://www.airfryerrecipe.co.uk/blog/0-33-cup-evaporated-milk-to-ounces","conversions/cups-to-ounces/0-33-cup-evaporated-milk-to-ounces","https://www.airfryerrecipe.co.uk/blog/conversions/cups-to-ounces/0-33-cup-evaporated-milk-to-ounces","conversions","cups-to-ounces","src\content\blog\0-33-cup-evaporated-milk-to-ounces.md",9509
"0-33-cup-frozen-corn-to-ounces","https://www.airfryerrecipe.co.uk/blog/0-33-cup-frozen-corn-to-ounces","conversions/cups-to-ounces/0-33-cup-frozen-corn-to-ounces","https://www.airfryerrecipe.co.uk/blog/conversions/cups-to-ounces/0-33-cup-frozen-corn-to-ounces","conversions","cups-to-ounces","src\content\blog\0-33-cup-frozen-corn-to-ounces.md",10745
"0-33-cup-frozen-peas-to-ounces","https://www.airfryerrecipe.co.uk/blog/0-33-cup-frozen-peas-to-ounces","conversions/cups-to-ounces/0-33-cup-frozen-peas-to-ounces","https://www.airfryerrecipe.co.uk/blog/conversions/cups-to-ounces/0-33-cup-frozen-peas-to-ounces","conversions","cups-to-ounces","src\content\blog\0-33-cup-frozen-peas-to-ounces.md",9610
"0-33-cup-golden-syrup-to-ounces","https://www.airfryerrecipe.co.uk/blog/0-33-cup-golden-syrup-to-ounces","conversions/cups-to-ounces/0-33-cup-golden-syrup-to-ounces","https://www.airfryerrecipe.co.uk/blog/conversions/cups-to-ounces/0-33-cup-golden-syrup-to-ounces","conversions","cups-to-ounces","src\content\blog\0-33-cup-golden-syrup-to-ounces.md",10735
"0-33-cup-ground-coriander-to-ounces","https://www.airfryerrecipe.co.uk/blog/0-33-cup-ground-coriander-to-ounces","conversions/cups-to-ounces/0-33-cup-ground-coriander-to-ounces","https://www.airfryerrecipe.co.uk/blog/conversions/cups-to-ounces/0-33-cup-ground-coriander-to-ounces","conversions","cups-to-ounces","src\content\blog\0-33-cup-ground-coriander-to-ounces.md",10162
"0-33-cup-pumpkin-seeds-to-ounces","https://www.airfryerrecipe.co.uk/blog/0-33-cup-pumpkin-seeds-to-ounces","conversions/cups-to-ounces/0-33-cup-pumpkin-seeds-to-ounces","https://www.airfryerrecipe.co.uk/blog/conversions/cups-to-ounces/0-33-cup-pumpkin-seeds-to-ounces","conversions","cups-to-ounces","src\content\blog\0-33-cup-pumpkin-seeds-to-ounces.md",9813
"0-33-cup-rapeseed-oil-to-ounces","https://www.airfryerrecipe.co.uk/blog/0-33-cup-rapeseed-oil-to-ounces","conversions/cups-to-ounces/0-33-cup-rapeseed-oil-to-ounces","https://www.airfryerrecipe.co.uk/blog/conversions/cups-to-ounces/0-33-cup-rapeseed-oil-to-ounces","conversions","cups-to-ounces","src\content\blog\0-33-cup-rapeseed-oil-to-ounces.md",11402
"0-33-cup-rolled-barley-to-ounces","https://www.airfryerrecipe.co.uk/blog/0-33-cup-rolled-barley-to-ounces","conversions/cups-to-ounces/0-33-cup-rolled-barley-to-ounces","https://www.airfryerrecipe.co.uk/blog/conversions/cups-to-ounces/0-33-cup-rolled-barley-to-ounces","conversions","cups-to-ounces","src\content\blog\0-33-cup-rolled-barley-to-ounces.md",9700
"0-33-cup-semi-skimmed-milk-to-ounces","https://www.airfryerrecipe.co.uk/blog/0-33-cup-semi-skimmed-milk-to-ounces","conversions/cups-to-ounces/0-33-cup-semi-skimmed-milk-to-ounces","https://www.airfryerrecipe.co.uk/blog/conversions/cups-to-ounces/0-33-cup-semi-skimmed-milk-to-ounces","conversions","cups-to-ounces","src\content\blog\0-33-cup-semi-skimmed-milk-to-ounces.md",10633
"0-33-cup-sesame-oil-to-ounces","https://www.airfryerrecipe.co.uk/blog/0-33-cup-sesame-oil-to-ounces","conversions/cups-to-ounces/0-33-cup-sesame-oil-to-ounces","https://www.airfryerrecipe.co.uk/blog/conversions/cups-to-ounces/0-33-cup-sesame-oil-to-ounces","conversions","cups-to-ounces","src\content\blog\0-33-cup-sesame-oil-to-ounces.md",10549
