slug,old_url,file_path,content_length
"0-5-kg-salmon-fillet-to-pounds","https://www.airfryerrecipe.co.uk/blog/0-5-kg-salmon-fillet-to-pounds","src\content\blog\0-5-kg-salmon-fillet-to-pounds.md",14964
"0-5-kg-to-pounds-c69ce","https://www.airfryerrecipe.co.uk/blog/0-5-kg-to-pounds-c69ce","src\content\blog\0-5-kg-to-pounds-c69ce.md",14924
"0-5-kg-to-pounds","https://www.airfryerrecipe.co.uk/blog/0-5-kg-to-pounds","src\content\blog\0-5-kg-to-pounds.md",14829
"0-5-kg-turkey-crown-to-pounds","https://www.airfryerrecipe.co.uk/blog/0-5-kg-turkey-crown-to-pounds","src\content\blog\0-5-kg-turkey-crown-to-pounds.md",13695
"0-5-kg-whole-chicken-to-pounds","https://www.airfryerrecipe.co.uk/blog/0-5-kg-whole-chicken-to-pounds","src\content\blog\0-5-kg-whole-chicken-to-pounds.md",13102
"0-6-kg-to-pounds","https://www.airfryerrecipe.co.uk/blog/0-6-kg-to-pounds","src\content\blog\0-6-kg-to-pounds.md",13412
"0-66-cup-apple-cider-vinegar-to-ounces","https://www.airfryerrecipe.co.uk/blog/0-66-cup-apple-cider-vinegar-to-ounces","src\content\blog\0-66-cup-apple-cider-vinegar-to-ounces.md",10458
"0-66-cup-chicken-broth-to-ounces","https://www.airfryerrecipe.co.uk/blog/0-66-cup-chicken-broth-to-ounces","src\content\blog\0-66-cup-chicken-broth-to-ounces.md",9340
"0-66-cup-cornflour-to-ounces","https://www.airfryerrecipe.co.uk/blog/0-66-cup-cornflour-to-ounces","src\content\blog\0-66-cup-cornflour-to-ounces.md",9204
"0-66-cup-cranberries-to-ounces","https://www.airfryerrecipe.co.uk/blog/0-66-cup-cranberries-to-ounces","src\content\blog\0-66-cup-cranberries-to-ounces.md",9730
"0-66-cup-granulated-sugar-to-ounces","https://www.airfryerrecipe.co.uk/blog/0-66-cup-granulated-sugar-to-ounces","src\content\blog\0-66-cup-granulated-sugar-to-ounces.md",10194
"0-66-cup-self-raising-flour-to-ounces","https://www.airfryerrecipe.co.uk/blog/0-66-cup-self-raising-flour-to-ounces","src\content\blog\0-66-cup-self-raising-flour-to-ounces.md",10152
"0-66-cup-shredded-carrot-to-ounces","https://www.airfryerrecipe.co.uk/blog/0-66-cup-shredded-carrot-to-ounces","src\content\blog\0-66-cup-shredded-carrot-to-ounces.md",9799
"0-66-cup-sunflower-seeds-to-ounces","https://www.airfryerrecipe.co.uk/blog/0-66-cup-sunflower-seeds-to-ounces","src\content\blog\0-66-cup-sunflower-seeds-to-ounces.md",9488
"0-66-cup-sweet-chilli-sauce-to-ounces","https://www.airfryerrecipe.co.uk/blog/0-66-cup-sweet-chilli-sauce-to-ounces","src\content\blog\0-66-cup-sweet-chilli-sauce-to-ounces.md",9816
